Title,Year,Format,AVS,Catalogue
Before I Wake,2016,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56893474,https://beqcatalogue.readthedocs.io/en/latest/56893474/
The Best of Enemies,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58266120,https://beqcatalogue.readthedocs.io/en/latest/58266120/
Beyond the Law,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59661836,https://beqcatalogue.readthedocs.io/en/latest/59661836/
Beyond the Sky,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57157722,https://beqcatalogue.readthedocs.io/en/latest/57157722/
The BFG,2016,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56835084,https://beqcatalogue.readthedocs.io/en/latest/56835084/
Big Hero 6,2014,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56698012,https://beqcatalogue.readthedocs.io/en/latest/56698012/
The Big Lebowski,1998,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57267150,https://beqcatalogue.readthedocs.io/en/latest/57267150/
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59405578,https://beqcatalogue.readthedocs.io/en/latest/59405578/
The Birth of a Nation,2016,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56753621,https://beqcatalogue.readthedocs.io/en/latest/56753621/
Black '47,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57298002,https://beqcatalogue.readthedocs.io/en/latest/57298002/
Black and Blue,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59120392,https://beqcatalogue.readthedocs.io/en/latest/59120392/
Black Hawk Down,2001,Extended Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57725638,https://beqcatalogue.readthedocs.io/en/latest/57725638/
Black Mass,2015,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59970806,https://beqcatalogue.readthedocs.io/en/latest/59970806/
Black Panther,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56735720,https://beqcatalogue.readthedocs.io/en/latest/56735720/
BlacKkKlansman,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57058882,https://beqcatalogue.readthedocs.io/en/latest/57058882/
Black Swan,2010,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59242008,https://beqcatalogue.readthedocs.io/en/latest/59242008/
The Blackout (Russian),2019,Russian DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-60002268,https://beqcatalogue.readthedocs.io/en/latest/60002268/
Blade,1998,DTS-HD MA 6.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57304472,https://beqcatalogue.readthedocs.io/en/latest/57304472/
Blade II,2002,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57304518,https://beqcatalogue.readthedocs.io/en/latest/57304518/
Blade Trinity,2004,Unrated DTS-HD MA 6.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57304566,https://beqcatalogue.readthedocs.io/en/latest/57304566/
